idmesa,codimesa,mesatancada,comarca,vnuls,vblancs,verc,vjxc,vcup,vpsc,vcs,vppc,vcom,vpacma,vdialeg,vpumjust,vrecortes,vfamilia,vdn,vpfiv,vconver,vunidos,vcilus,cens,acta,hihavots,hihaacta,origen,datetime,user,mesavalidada,mesacorrecte
2090,0801509021U,1,BARCELONES,5,3,87,57,20,137,303,88,73,12,,,1,,,,,,,1031,2090-1517605744-9a50f77f8940044a178946227af5c76d-bec845b87cd739aeaeb50911c8ef4123.jpg,1,1,CDR,2018-02-02 23:28:32,barcelon01,1,1
2091,0801509022U,1,BARCELONES,4,2,93,29,9,152,292,96,70,19,0,0,4,0,0,0,0,0,0,990,2091-1516779826-bda9c9ed9629545b2a0965e0785bde05-47ee66ee75b5884e33e19c8b8e112e59.jpg,1,1,CDR,2018-01-24 11:18:34,barcelon01,1,1
2092,0801509023U,1,BARCELONES,6,4,35,14,5,97,123,44,36,5,0,0,1,0,0,0,0,0,0,496,2092-1516779826-b99b079d1def2650e66784d3af4d90b2-c4b11c7189e04069e8b8639b03c3a4d8.jpg,1,1,CDR,2018-01-24 11:19:31,barcelon01,1,1
2093,0801509024A,1,BARCELONES,2,,52,18,5,94,236,78,35,6,,,1,,,,,,,651,2093-1516779826-e405a950d1fa2887433ed5ba92b0776f-362645ce18f7e8dcfddbffe3f2d52099.jpg,1,1,CDR,2018-01-24 08:43:46,admin,1,1
2094,0801509024B,1,BARCELONES,3,4,53,28,13,133,260,89,55,6,,,1,,,,,,,782,2094-1516779826-cc1d983cb22b88d3a71bc02910aa387e-54760f100e2b9c489bacedc38043b79c.jpg,1,1,CDR,2018-01-24 08:43:46,admin,1,1
2095,0801509025U,1,BARCELONES,3,4,81,34,16,117,223,79,55,9,0,0,4,0,0,0,0,0,0,829,2095-1516779826-9d8c0a0321632263ada937b8689de3cb-c6052c230c9b6ce88c3c1de57f7bc95a.jpg,1,1,CDR,2018-01-24 11:20:18,barcelon01,1,1
2096,0801509026U,1,BARCELONES,1,1,105,34,12,141,240,81,109,8,0,0,5,0,0,0,0,0,0,922,2096-1516779826-0cd70231a3e1f6e3c3b2702cdf4a2159-2a77005a13c54d5bc937a53c2f84bd46.jpg,1,1,CDR,2018-01-24 11:21:07,barcelon01,1,1
2097,0801509027U,1,BARCELONES,4,1,67,33,17,81,165,37,47,10,0,0,2,0,0,0,0,0,0,633,2097-1516779826-e25f711fbbf1821cb606aaea0de61770-659fa1ffc409d9680b4180d2deb73f25.jpg,1,1,CDR,2018-01-24 11:21:57,barcelon01,1,1
2098,0801509028A,1,BARCELONES,3,3,73,29,9,75,204,38,54,8,,,,,,,,,,706,2098-1516779826-569a2c1c58d17c2853ca2b690d604ce6-404c6082a84c94d4a555e01ad4cfa58a.jpg,1,1,CDR,2018-01-24 08:43:46,admin,1,1
2099,0801509028B,1,BARCELONES,3,1,92,21,12,93,238,58,71,13,,,2,,,,,,,844,2099-1516779826-b0682bc973de28bb0f78ed857cf2a94c-abed17308a553a03b220cf7d3eaa8fbc.jpg,1,1,CDR,2018-01-24 08:43:46,admin,1,1
2100,0801509030A,1,BARCELONES,0,1,63,43,15,62,180,35,30,5,0,0,0,0,0,0,0,0,0,606,2100-1516779826-1164f369e4abfd5208ea45a402d92030-9d9c8bd492baba88a01b05f429eec064.jpg,1,1,CDR,2018-01-24 11:22:55,barcelon01,1,1
2101,0801509030B,1,BARCELONES,1,0,71,51,3,67,163,44,30,2,0,0,2,0,0,0,0,0,0,603,2101-1516779826-509032426bf3ac3f55103d36f8075337-44dbf0cdad879ed333d21692336d49a6.jpg,1,1,CDR,2018-01-24 11:23:47,barcelon01,1,1
2102,0801509031U,1,BARCELONES,4,2,56,22,10,127,252,106,43,8,,,3,,,,,,,747,2102-e751ea22-f180-4943-a4f6-9a4f26e03e1e.jpg,1,1,ANC,2017-12-31 10:01:15,,1,1
2103,0801509032U,1,BARCELONES,,5,44,18,8,75,157,57,44,2,,,,,,,,,,620,2103-1516779826-97d2a6b60a5b061c650cb4fa9349bcb1-ac1b7e01b3a8ce59f7c7fa3966850749.jpg,1,1,CDR,2018-01-24 08:43:46,admin,1,1
2104,0801509033A,1,BARCELONES,1,0,46,24,7,92,169,53,37,7,0,0,1,0,0,0,0,0,0,535,2104-1516779826-b946a64a8faff43a95bc8f3fb160bfb5-3e997939619dcb17337b12fc8e209578.jpg,1,1,CDR,2018-01-24 11:24:36,barcelon01,1,1
2105,0801509033B,1,BARCELONES,1,2,62,28,7,115,205,66,48,7,0,0,0,0,0,0,0,0,00,645,2105-1516779826-e214bee42ec2594f54498df1db9b9224-fa90bd3ebf529e78f83c95f2edb4310e.jpg,1,1,CDR,2018-01-24 11:25:16,barcelon01,1,1
2106,0801509034A,1,BARCELONES,1,2,80,21,13,108,210,50,41,9,0,0,2,0,0,0,0,0,0,653,2106-1516779826-2d741593e8bede58bcc9250a43e2750f-2ffb24ed1669407ee3b0e6025948905d.jpg,1,1,CDR,2018-01-24 11:26:04,barcelon01,1,1
2107,0801509034B,1,BARCELONES,1,0,88,31,12,114,229,75,55,12,0,0,1,0,0,0,0,0,0,722,2107-1516779826-3bbd715bc197d6b1211f6ade2dcf6178-39fc0682f2e11dd749efb728825fc2b7.jpg,1,1,CDR,2018-01-24 11:26:50,barcelon01,1,1
2108,0801509035U,1,BARCELONES,9,7,86,47,3,151,322,121,56,15,,,3,,,,,,,1046,2108-1517605744-64bf84979624ea549025e3311a143d3f-046b808a961312a3b64d7c134389e4a9.jpg,1,1,CDR,2018-02-02 23:29:33,barcelon01,1,1
2109,0801509036U,1,BARCELONES,2,1,65,20,22,138,307,97,63,6,,,5,,,,,,,941,2109-1517605744-442ddcd69c735162f956bb2283881ce7-e26e1a5f4abbde03de2bf50e9f6fea9e.jpg,1,1,CDR,2018-02-02 23:30:06,barcelon01,1,1
2110,0801509037U,1,BARCELONES,3,,34,21,6,53,128,69,32,5,,,1,,,,,,,615,2110-1516779826-fb21476dc5cbcc019740b86c4727425a-ce99619c745873256ec5d668eabf3bfc.jpg,1,1,CDR,2018-01-24 08:43:46,admin,1,1
2111,0801509038U,1,BARCELONES,0,0,98,41,14,89,149,52,49,9,0,0,2,0,0,0,0,0,0,802,2111-1516779826-35a4e0056d86eae99fe80b4a922c4ddc-ec40e08a1074255464b10ac525ebf5bb.jpg,1,1,CDR,2018-01-24 11:27:47,barcelon01,1,1
2112,0801509042U,1,BARCELONES,0,0,26,6,4,57,152,36,26,4,0,0,0,0,0,0,0,0,0,723,2112-1516779826-c1d24afa1ee362cac4b15ed1368cf0e8-1862fc004b4430f0a1964ba1f6d2085b.jpg,1,1,CDR,2018-01-24 11:28:39,barcelon01,1,1
2113,0801509043A,1,BARCELONES,,2,67,23,7,124,183,53,43,8,,,2,,,,,,,624,2113-1516779826-32af035ed1b78fef372b2b0d6439556d-d98308bca7f54c94df66b086727c147f.jpg,1,1,CDR,2018-01-24 08:43:46,admin,1,1
2114,0801509043B,1,BARCELONES,,3,92,30,15,129,218,55,69,9,,,2,,,,,,,738,2114-1516779826-008696dde63acde7ac696c731672870f-6360fcc79dc6159effd5d98a3a62090c.jpg,1,1,CDR,2018-01-24 08:43:46,admin,1,1
2115,0801509044U,1,BARCELONES,4,5,53,13,7,104,210,64,43,9,,,2,,,,,,,680,2115-1516779826-08685c1852d70d6267f1e8351d5c8943-c56764e5e3ea5cfa09dd9e37e5986275.jpg,1,1,CDR,2018-01-24 08:43:46,admin,1,1
2116,0801509045A,1,BARCELONES,1,0,30,27,6,105,161,65,38,3,0,0,1,0,0,0,0,0,0,545,2116-1516779826-260a95bb81c309b8914e3ef66a5cc992-7d0cee36fcd182b1198abc93ab52c3fe.jpg,1,1,CDR,2018-01-24 11:29:26,barcelon01,1,1
2117,0801509045B,1,BARCELONES,1,1,57,25,9,101,224,87,36,8,0,0,2,0,0,0,0,0,0,675,2117-1516779826-d4bdf62d9d3e3aca452ccdba8bce38a1-016d470d20ce4cc7ca416449e25ec513.jpg,1,1,CDR,2018-01-24 11:33:12,barcelon01,1,1
2118,0801509047U,1,BARCELONES,3,1,53,19,11,95,234,57,45,8,,,1,,,,,,,696,2118-1516779826-ec6e68b9e0c4623d0d9a1ba466d57523-b87ee584d51376442ca4b7af1112f4fd.jpg,1,1,CDR,2018-01-24 08:43:46,admin,1,1
2119,0801509049U,1,BARCELONES,3,6,129,85,16,157,201,69,80,14,0,0,2,0,0,0,0,0,0,999,2119-1516779826-cf9eefe305d9d0c345fee8003a38786d-966f3c0c4cc7a55e7f0f17751eac5a25.jpg,1,1,CDR,2018-01-24 11:33:55,barcelon01,1,1
2120,0801509050U,1,BARCELONES,4,2,42,18,8,69,209,71,45,5,,,0,,,,,,,606,2120-1517605744-90a6e1b301b063ab777ae1c80b7d582c-370f852da8f2b27cc1b17efdbe872c80.jpg,1,1,CDR,2018-02-02 23:30:44,barcelon01,1,1
