IDMESA,CODI_MESA,COD_PROV,CODI_LOCAL,MUNICIPI,COMARCA,G35,CODI_MUNICIPI,DISTRICTE,SECCIO,SUBSECCIO,MESA,LLETRA_INICI,LLETRA_FI,CODI_LOCAL_ORIGEN,CODI_LOCAL,LOCAL_ELECTORAL_ADRECA,LOCAL_ELECTORAL,ADRECA,IDMESAMESESCOLA,NOSEQUEES
26,1705401001U,17,c1710,COLERA,ALT EMPORDA,ALTEMPORDA1G35,54,1,1,,U,A,Z,,c1710,CENTRE CIVIC ; CARRE MAR 49,CENTRE CIVIC,CARRE MAR 49,26#1705401001U#CENTRE CIVIC ; CARRE MAR 49,
27,1706001001U,17,c1715,DARNIUS,ALT EMPORDA,ALTEMPORDA1G35,60,1,1,,U,A,Z,,c1715,AJUNTAMENT DE DARNIUS (BAIXOS) ; CARRE MAJOR 3,AJUNTAMENT DE DARNIUS (BAIXOS),CARRE MAJOR 3,27#1706001001U#AJUNTAMENT DE DARNIUS (BAIXOS) ; CARRE MAJOR 3,
28,1706201001U,17,c1717,ESCALA (L'),ALT EMPORDA,ALTEMPORDA1G35,62,1,1,,U,A,Z,,c1717,CENTRE ESPORTIU I RECREATIU ; CARRE GARBI 6,CENTRE ESPORTIU I RECREATIU,CARRE GARBI 6,28#1706201001U#CENTRE ESPORTIU I RECREATIU ; CARRE GARBI 6,
29,1706201002A,17,c1717,ESCALA (L'),ALT EMPORDA,ALTEMPORDA1G35,62,1,2,,A,A,L,,c1717,CENTRE ESPORTIU I RECREATIU ; CARRE GARBI 6,CENTRE ESPORTIU I RECREATIU,CARRE GARBI 6,29#1706201002A#CENTRE ESPORTIU I RECREATIU ; CARRE GARBI 6,
30,1706201002B,17,c1717,ESCALA (L'),ALT EMPORDA,ALTEMPORDA1G35,62,1,2,,B,M,Z,,c1717,CENTRE ESPORTIU I RECREATIU ; CARRE GARBI 6,CENTRE ESPORTIU I RECREATIU,CARRE GARBI 6,30#1706201002B#CENTRE ESPORTIU I RECREATIU ; CARRE GARBI 6,
31,1706201003A,17,c1718,ESCALA (L'),ALT EMPORDA,ALTEMPORDA1G35,62,1,3,,A,A,L,,c1718,"ESCOLA SECUNDARIA ""EL PEDRO"" ; CARRE VILABERTRAN 2","ESCOLA SECUNDARIA ""EL PEDRO""",CARRE VILABERTRAN 2,"31#1706201003A#ESCOLA SECUNDARIA ""EL PEDRO"" ; CARRE VILABERTRAN 2",
32,1706201003B,17,c1718,ESCALA (L'),ALT EMPORDA,ALTEMPORDA1G35,62,1,3,,B,M,Z,,c1718,"ESCOLA SECUNDARIA ""EL PEDRO"" ; CARRE VILABERTRAN 2","ESCOLA SECUNDARIA ""EL PEDRO""",CARRE VILABERTRAN 2,"32#1706201003B#ESCOLA SECUNDARIA ""EL PEDRO"" ; CARRE VILABERTRAN 2",
33,1706201004A,17,c1719,ESCALA (L'),ALT EMPORDA,ALTEMPORDA1G35,62,1,4,,A,A,L,,c1719,LLAR DE JUBILATS ; CARRE RUSIÑOL 1,LLAR DE JUBILATS,CARRE RUSIÑOL 1,33#1706201004A#LLAR DE JUBILATS ; CARRE RUSIÑOL 1,
34,1706201004B,17,c1719,ESCALA (L'),ALT EMPORDA,ALTEMPORDA1G35,62,1,4,,B,M,Z,,c1719,LLAR DE JUBILATS ; CARRE RUSIÑOL 1,LLAR DE JUBILATS,CARRE RUSIÑOL 1,34#1706201004B#LLAR DE JUBILATS ; CARRE RUSIÑOL 1,
35,1706201005A,17,c1717,ESCALA (L'),ALT EMPORDA,ALTEMPORDA1G35,62,1,5,,A,A,L,,c1717,CENTRE ESPORTIU I RECREATIU ; CARRE GARBI 6,CENTRE ESPORTIU I RECREATIU,CARRE GARBI 6,35#1706201005A#CENTRE ESPORTIU I RECREATIU ; CARRE GARBI 6,
36,1706201005B,17,c1717,ESCALA (L'),ALT EMPORDA,ALTEMPORDA1G35,62,1,5,,B,M,Z,,c1717,CENTRE ESPORTIU I RECREATIU ; CARRE GARBI 6,CENTRE ESPORTIU I RECREATIU,CARRE GARBI 6,36#1706201005B#CENTRE ESPORTIU I RECREATIU ; CARRE GARBI 6,
37,1706401001U,17,c1721,ESPOLLA,ALT EMPORDA,ALTEMPORDA1G35,64,1,1,,U,A,Z,,c1721,CASA DE LA VILA ; CARRE AMADEU SUDRIA 3,CASA DE LA VILA,CARRE AMADEU SUDRIA 3,37#1706401001U#CASA DE LA VILA ; CARRE AMADEU SUDRIA 3,
38,1700501001U,17,c1625,FAR D'EMPORDÀ (EL),ALT EMPORDA,ALTEMPORDA1G35,5,1,1,,U,A,Z,,c1625,NOU AJUNTAMENT DEL FAR D'EMPORDÀ (VESTÍBUL - BAIXOS) ; PLAÇA AJUNTAMENT 1,NOU AJUNTAMENT DEL FAR D'EMPORDÀ (VESTÍBUL - BAIXOS),PLAÇA AJUNTAMENT 1,38#1700501001U#NOU AJUNTAMENT DEL FAR D'EMPORDÀ (VESTÍBUL - BAIXOS) ; PLAÇA AJUNTAMENT 1,
39,1706601001U,17,c1723,FIGUERES,ALT EMPORDA,ALTEMPORDA1G35,66,1,1,,U,A,Z,,c1723,LOCAL DE LA PARROQUIA DE SANT PERE ; PLAÇA GALA I SALVADOR DALI 1,LOCAL DE LA PARROQUIA DE SANT PERE,PLAÇA GALA I SALVADOR DALI 1,39#1706601001U#LOCAL DE LA PARROQUIA DE SANT PERE ; PLAÇA GALA I SALVADOR DALI 1,
40,1706601003A,17,c1724,FIGUERES,ALT EMPORDA,ALTEMPORDA1G35,66,1,3,,A,A,Z,,c1724,EDIFICI DE SERVEIS MUNICIPALS ; AV SALVADOR DALI DOMENECH 107,EDIFICI DE SERVEIS MUNICIPALS,AV SALVADOR DALI DOMENECH 107,40#1706601003A#EDIFICI DE SERVEIS MUNICIPALS ; AV SALVADOR DALI DOMENECH 107,
41,1706601003B,17,c1725,FIGUERES,ALT EMPORDA,ALTEMPORDA1G35,66,1,3,,B,A,L,,c1725,EDIFICI DE SERVEIS MUNICIPALS ; AV SALVADOR DALI DOMENECH 107,EDIFICI DE SERVEIS MUNICIPALS,AV SALVADOR DALI DOMENECH 107,41#1706601003B#EDIFICI DE SERVEIS MUNICIPALS ; AV SALVADOR DALI DOMENECH 107,
42,1706601004U,17,c1725,FIGUERES,ALT EMPORDA,ALTEMPORDA1G35,66,1,4,,U,M,Z,,c1725,INSTITUT ALEXANDRE DEULOFEU ; CARRE JOAQUIM CUSI I FORTUNET 3,INSTITUT ALEXANDRE DEULOFEU,CARRE JOAQUIM CUSI I FORTUNET 3,42#1706601004U#INSTITUT ALEXANDRE DEULOFEU ; CARRE JOAQUIM CUSI I FORTUNET 3,
43,1706601005U,17,c1726,FIGUERES,ALT EMPORDA,ALTEMPORDA1G35,66,1,5,,U,A,Z,,c1726,CENTRE SOCIAL DEL CULUBRET ; CARRE MAJOR 39,CENTRE SOCIAL DEL CULUBRET,CARRE MAJOR 39,43#1706601005U#CENTRE SOCIAL DEL CULUBRET ; CARRE MAJOR 39,
44,1706601006A,17,c1727,FIGUERES,ALT EMPORDA,ALTEMPORDA1G35,66,1,6,,A,A,Z,,c1727,CENTRE SOCIAL JUNCARIA PARC BOSC ; PTGE MARIANA PINEDA 5,CENTRE SOCIAL JUNCARIA PARC BOSC,PTGE MARIANA PINEDA 5,44#1706601006A#CENTRE SOCIAL JUNCARIA PARC BOSC ; PTGE MARIANA PINEDA 5,
45,1706601006B,17,c1728,FIGUERES,ALT EMPORDA,ALTEMPORDA1G35,66,1,6,,B,A,L,,c1728,CENTRE SOCIAL JUNCARIA PARC BOSC ; PTGE MARIANA PINEDA 5,CENTRE SOCIAL JUNCARIA PARC BOSC,PTGE MARIANA PINEDA 5,45#1706601006B#CENTRE SOCIAL JUNCARIA PARC BOSC ; PTGE MARIANA PINEDA 5,
46,1706601007U,17,c1728,FIGUERES,ALT EMPORDA,ALTEMPORDA1G35,66,1,7,,U,M,Z,,c1728,CENTRE SOCIAL HORTA CAPALLERA ; CARRE PUIG ROM S/N,CENTRE SOCIAL HORTA CAPALLERA,CARRE PUIG ROM S/N,46#1706601007U#CENTRE SOCIAL HORTA CAPALLERA ; CARRE PUIG ROM S/N,
