IDMESA,CODI_MESA,COD_PROV,CODI_LOCAL,MUNICIPI,COMARCA,G35,CODI_MUNICIPI,DISTRICTE,SECCIO,SUBSECCIO,MESA,LLETRA_INICI,LLETRA_FI,CODI_LOCAL_ORIGEN,CODI_LOCAL,LOCAL_ELECTORAL_ADRECA,LOCAL_ELECTORAL,ADRECA,IDMESAMESESCOLA,NOSEQUEES
4693,1720701002A,17,c1980,VALL D'EN BAS (LA),GARROTXA,CERDANYA1G35,207,1,2,,A,A,K,,c1980,ANTIGUES ESCOLES ; PG GENERAL ESTARTÚS 57 - SANT PRIVAT D'EN BAS,ANTIGUES ESCOLES,PG GENERAL ESTARTÚS 57 - SANT PRIVAT D'EN BAS,4693#1720701002A#ANTIGUES ESCOLES ; PG GENERAL ESTARTÚS 57 - SANT PRIVAT D'EN BAS,
4694,1720701002B,17,c1980,VALL D'EN BAS (LA),GARROTXA,CERDANYA1G35,207,1,2,,B,L,Z,,c1980,ANTIGUES ESCOLES ; PG GENERAL ESTARTÚS 57   SANT PRIVAT D'EN BAS,ANTIGUES ESCOLES,PG GENERAL ESTARTÚS 57   SANT PRIVAT D'EN BAS,4694#1720701002B#ANTIGUES ESCOLES ; PG GENERAL ESTARTÚS 57   SANT PRIVAT D'EN BAS,
4695,1720701002C,17,c1981,VALL D'EN BAS (LA),GARROTXA,CERDANYA1G35,207,1,2,,C,A,Z,,c1981,ANTIGUES ESCOLES DE NENS ; LLOC JOANETES 61  JOANETES,ANTIGUES ESCOLES DE NENS,LLOC JOANETES 61  JOANETES,4695#1720701002C#ANTIGUES ESCOLES DE NENS ; LLOC JOANETES 61  JOANETES,
4696,1720801001A,17,c1982,VALL DE BIANYA (LA),GARROTXA,CERDANYA1G35,208,1,1,,A,A,Z,,c1982,ANTIGA ESCOLA DE L'HOSTALNOU ; CTRA CAMPRODON (DE) 2 - HOSTALNOU DE BIANYA (L'),ANTIGA ESCOLA DE L'HOSTALNOU,CTRA CAMPRODON (DE) 2 - HOSTALNOU DE BIANYA (L'),4696#1720801001A#ANTIGA ESCOLA DE L'HOSTALNOU ; CTRA CAMPRODON (DE) 2 - HOSTALNOU DE BIANYA (L'),
4697,1720801001B,17,c1983,VALL DE BIANYA (LA),GARROTXA,CERDANYA1G35,208,1,1,,B,A,Z,,c1983,OFICINA ATENCIÓ CIUTADÀ DE LA CANYA ; C/ LLUIS DE BOLOS 12 - CANYA (LA),OFICINA ATENCIÓ CIUTADÀ DE LA CANYA,C/ LLUIS DE BOLOS 12 - CANYA (LA),4697#1720801001B#OFICINA ATENCIÓ CIUTADÀ DE LA CANYA ; C/ LLUIS DE BOLOS 12 - CANYA (LA),
4059,0829301001U,8,c1166,VALLCEBRE,BERGUEDÀ,CERDANYA1G35,293,1,1,,U,A,Z,82930001,c1166,ESCOLA PUBLICA SERRAT VOLTOR ; PL AYUNTAMIENTO S/N,ESCOLA PUBLICA SERRAT VOLTOR,PL AYUNTAMIENTO S/N,4059#0829301001U#ESCOLA PUBLICA SERRAT VOLTOR ; PL AYUNTAMIENTO S/N,
4129,1717001001U,17,c1936,VALLFOGONA DE RIPOLLÈS,RIPOLLES,CERDANYA1G35,170,1,1,,U,A,Z,,c1936,CASAL CULTURAL (SALA POLIVALENT) ; CARRE PUIG-ESTELA 11,CASAL CULTURAL (SALA POLIVALENT),CARRE PUIG-ESTELA 11,4129#1717001001U#CASAL CULTURAL (SALA POLIVALENT) ; CARRE PUIG-ESTELA 11,
3987,2590601001U,25,c2319,VALLS D'AGUILAR (LES),ALT URGELL,CERDANYA1G35,906,1,1,,U,A,Z,,c2319,CENTRE CIVIC CAL PERE ; CARRE DIPUTACIO 83  NOVES DE SEGRE,CENTRE CIVIC CAL PERE,CARRE DIPUTACIO 83  NOVES DE SEGRE,3987#2590601001U#CENTRE CIVIC CAL PERE ; CARRE DIPUTACIO 83  NOVES DE SEGRE,
3988,2523901001U,25,c2320,VALLS DE VALIRA (LES),ALT URGELL,CERDANYA1G35,239,1,1,,U,A,Z,,c2320,CASA CONSISTORIAL ; CARRE PLAÇA S/N - ANSERALL,CASA CONSISTORIAL,CARRE PLAÇA S/N - ANSERALL,3988#2523901001U#CASA CONSISTORIAL ; CARRE PLAÇA S/N - ANSERALL,
3989,2590901001U,25,c2321,VANSA I FÓRNOLS (LA),ALT URGELL,CERDANYA1G35,909,1,1,,U,A,Z,,c2321,CASA CONSISTORIAL ; CARRE UNIC S/N  SORRIBES,CASA CONSISTORIAL,CARRE UNIC S/N  SORRIBES,3989#2590901001U#CASA CONSISTORIAL ; CARRE UNIC S/N  SORRIBES,
4060,0829901001U,8,c1470,VILADA,BERGUEDÀ,CERDANYA1G35,299,1,1,,U,A,Z,82990001,c1470,LOCAL SOCIAL ; PL VILA 11,LOCAL SOCIAL,PL VILA 11,4060#0829901001U#LOCAL SOCIAL ; PL VILA 11,
4130,1722401001U,17,c2001,VILALLONGA DE TER,RIPOLLES,CERDANYA1G35,224,1,1,,U,A,Z,,c2001,ESCOLES NACIONALS ; PLAÇA ESCOLES (DE LES) 1,ESCOLES NACIONALS,PLAÇA ESCOLES (DE LES) 1,4130#1722401001U#ESCOLES NACIONALS ; PLAÇA ESCOLES (DE LES) 1,
4061,0830801001U,8,c1494,VIVER I SERRATEIX,BERGUEDÀ,CERDANYA1G35,308,1,1,,U,A,Z,83080002,c1494,LOCAL SOCIO-CULTURAL DE SERRATEIX ; CTRA NAVÀS A- SERRATEIX (DE) S/N  SERRATEIX,LOCAL SOCIO-CULTURAL DE SERRATEIX,CTRA NAVÀS A- SERRATEIX (DE) S/N  SERRATEIX,4061#0830801001U#LOCAL SOCIO-CULTURAL DE SERRATEIX ; CTRA NAVÀS A- SERRATEIX (DE) S/N  SERRATEIX,
4131,0801301001A,8,c48,AVINYONET DEL PENEDÈS,ALT PENEDÈS,GARRAF1G35,13,1,1,,A,A,L,80130001,c48,ANTIGA ESCOLA PUBLICA D'AVINYONET ; PL VILA (DE LA) 1 -  AVINYÓ NOU,ANTIGA ESCOLA PUBLICA D'AVINYONET,PL VILA (DE LA) 1 -  AVINYÓ NOU,4131#0801301001A#ANTIGA ESCOLA PUBLICA D'AVINYONET ; PL VILA (DE LA) 1 -  AVINYÓ NOU,
4132,0801301001B,8,c48,AVINYONET DEL PENEDÈS,ALT PENEDÈS,GARRAF1G35,13,1,1,,B,M,Z,80130001,c48,ANTIGA ESCOLA PUBLICA D'AVINYONET ; PL VILA (DE LA) 1 -  AVINYÓ NOU,ANTIGA ESCOLA PUBLICA D'AVINYONET,PL VILA (DE LA) 1 -  AVINYÓ NOU,4132#0801301001B#ANTIGA ESCOLA PUBLICA D'AVINYONET ; PL VILA (DE LA) 1 -  AVINYÓ NOU,
4133,0802701001U,8,c923,CABANYES (LES),ALT PENEDÈS,GARRAF1G35,27,1,1,,U,A,Z,80270003,c923,ESCOLA DE LES CABANYES ; C VINT-I-SIS 2,ESCOLA DE LES CABANYES,C VINT-I-SIS 2,4133#0802701001U#ESCOLA DE LES CABANYES ; C VINT-I-SIS 2,
4251,0804301001A,8,c1589,CANYELLES,GARRAF,GARRAF1G35,43,1,1,,A,A,K,80430001,c1589,SALA MULTICULTURAL ; C MAJOR S/N,SALA MULTICULTURAL,C MAJOR S/N,4251#0804301001A#SALA MULTICULTURAL ; C MAJOR S/N,
4252,0804301001B,8,c1589,CANYELLES,GARRAF,GARRAF1G35,43,1,1,,B,L,Z,80430001,c1589,SALA MULTICULTURAL ; C MAJOR S/N,SALA MULTICULTURAL,C MAJOR S/N,4252#0804301001B#SALA MULTICULTURAL ; C MAJOR S/N,
4253,0804301002A,8,c1589,CANYELLES,GARRAF,GARRAF1G35,43,1,2,,A,A,K,80430001,c1589,SALA MULTICULTURAL ; C MAJOR S/N,SALA MULTICULTURAL,C MAJOR S/N,4253#0804301002A#SALA MULTICULTURAL ; C MAJOR S/N,
4254,0804301002B,8,c1589,CANYELLES,GARRAF,GARRAF1G35,43,1,2,,B,L,Z,80430001,c1589,SALA MULTICULTURAL ; C MAJOR S/N,SALA MULTICULTURAL,C MAJOR S/N,4254#0804301002B#SALA MULTICULTURAL ; C MAJOR S/N,
4134,0805801001A,8,c785,CASTELLET I LA GORNAL,ALT PENEDÈS,GARRAF1G35,58,1,1,1,A,A,Z,80580001,c785,EDIF. MUNICIPAL NIU DE L'ORENETA ; C MAJOR (MASUQUES) 22  - MASUQUES (LES),EDIF. MUNICIPAL NIU DE L'ORENETA,C MAJOR (MASUQUES) 22  - MASUQUES (LES),4134#0805801001A#EDIF. MUNICIPAL NIU DE L'ORENETA ; C MAJOR (MASUQUES) 22  - MASUQUES (LES),
4135,0805801001B,8,c585,CASTELLET I LA GORNAL,ALT PENEDÈS,GARRAF1G35,58,1,1,2,B,A,L,80580004,c585,CENTRE CIVIC LA GORNAL ; RBLA PENEDÈS (DEL) 6 - GORNAL (LA),CENTRE CIVIC LA GORNAL,RBLA PENEDÈS (DEL) 6 - GORNAL (LA),4135#0805801001B#CENTRE CIVIC LA GORNAL ; RBLA PENEDÈS (DEL) 6 - GORNAL (LA),
4136,0805801001C,8,c585,CASTELLET I LA GORNAL,ALT PENEDÈS,GARRAF1G35,58,1,1,2,C,M,Z,80580004,c585,CENTRE CIVIC LA GORNAL ; RBLA PENEDÈS (DEL) 6 - GORNAL (LA),CENTRE CIVIC LA GORNAL,RBLA PENEDÈS (DEL) 6 - GORNAL (LA),4136#0805801001C#CENTRE CIVIC LA GORNAL ; RBLA PENEDÈS (DEL) 6 - GORNAL (LA),
4137,0806501001A,8,c813,CASTELLVÍ DE LA MARCA,ALT PENEDÈS,GARRAF1G35,65,1,1,,A,A,K,80650001,c813,EDIFICI POLIVALENT MUNICIPAL ; C ANSELM CLAVÉ 11  - MUNIA (LA),EDIFICI POLIVALENT MUNICIPAL,C ANSELM CLAVÉ 11  - MUNIA (LA),4137#0806501001A#EDIFICI POLIVALENT MUNICIPAL ; C ANSELM CLAVÉ 11  - MUNIA (LA),
4138,0806501001B,8,c813,CASTELLVÍ DE LA MARCA,ALT PENEDÈS,GARRAF1G35,65,1,1,,B,L,Z,80650001,c813,EDIFICI POLIVALENT MUNICIPAL ; C ANSELM CLAVÉ 11  - MUNIA (LA),EDIFICI POLIVALENT MUNICIPAL,C ANSELM CLAVÉ 11  - MUNIA (LA),4138#0806501001B#EDIFICI POLIVALENT MUNICIPAL ; C ANSELM CLAVÉ 11  - MUNIA (LA),
4255,0807401001U,8,c666,CUBELLES,GARRAF,GARRAF1G35,74,1,1,,U,A,Z,80740001,c666,CENTRE SOCIAL ; C JOAN ROIG I PIERA 3,CENTRE SOCIAL,C JOAN ROIG I PIERA 3,4255#0807401001U#CENTRE SOCIAL ; C JOAN ROIG I PIERA 3,
4256,0807401002A,8,c355,CUBELLES,GARRAF,GARRAF1G35,74,1,2,,A,A,K,80740002,c355,CEIP CHARLIE RIVEL ; PG VILANOVA 44,CEIP CHARLIE RIVEL,PG VILANOVA 44,4256#0807401002A#CEIP CHARLIE RIVEL ; PG VILANOVA 44,
4257,0807401002B,8,c355,CUBELLES,GARRAF,GARRAF1G35,74,1,2,,B,L,Z,80740002,c355,CEIP CHARLIE RIVEL ; PG VILANOVA 44,CEIP CHARLIE RIVEL,PG VILANOVA 44,4257#0807401002B#CEIP CHARLIE RIVEL ; PG VILANOVA 44,
4258,0807401003A,8,c490,CUBELLES,GARRAF,GARRAF1G35,74,1,3,,A,A,K,80740003,c490,CEIP VORA DEL MAR ; C VERGE DEL PILAR 10,CEIP VORA DEL MAR,C VERGE DEL PILAR 10,4258#0807401003A#CEIP VORA DEL MAR ; C VERGE DEL PILAR 10,
4259,0807401003B,8,c490,CUBELLES,GARRAF,GARRAF1G35,74,1,3,,B,L,Z,80740003,c490,CEIP VORA DEL MAR ; C VERGE DEL PILAR 10,CEIP VORA DEL MAR,C VERGE DEL PILAR 10,4259#0807401003B#CEIP VORA DEL MAR ; C VERGE DEL PILAR 10,
4260,0807401004A,8,c355,CUBELLES,GARRAF,GARRAF1G35,74,1,4,,A,A,F,80740002,c355,CEIP CHARLIE RIVEL ; PG VILANOVA 44,CEIP CHARLIE RIVEL,PG VILANOVA 44,4260#0807401004A#CEIP CHARLIE RIVEL ; PG VILANOVA 44,
4261,0807401004B,8,c355,CUBELLES,GARRAF,GARRAF1G35,74,1,4,,B,G,O,80740002,c355,CEIP CHARLIE RIVEL ; PG VILANOVA 44,CEIP CHARLIE RIVEL,PG VILANOVA 44,4261#0807401004B#CEIP CHARLIE RIVEL ; PG VILANOVA 44,
4262,0807401004C,8,c355,CUBELLES,GARRAF,GARRAF1G35,74,1,4,,C,P,Z,80740002,c355,CEIP CHARLIE RIVEL ; PG VILANOVA 44,CEIP CHARLIE RIVEL,PG VILANOVA 44,4262#0807401004C#CEIP CHARLIE RIVEL ; PG VILANOVA 44,
4263,0807401005A,8,c432,CUBELLES,GARRAF,GARRAF1G35,74,1,5,,A,A,K,80740006,c432,CEIP MAR I CEL ; AV POMPEU I FABRA 44  - CLOT DEL BASSO I MOTA DE SANT PERE (URBANITZACIO),CEIP MAR I CEL,AV POMPEU I FABRA 44  - CLOT DEL BASSO I MOTA DE SANT PERE (URBANITZACIO),4263#0807401005A#CEIP MAR I CEL ; AV POMPEU I FABRA 44  - CLOT DEL BASSO I MOTA DE SANT PERE (URBANITZACIO),
4264,0807401005B,8,c432,CUBELLES,GARRAF,GARRAF1G35,74,1,5,,B,L,Z,80740006,c432,CEIP MAR I CEL ; AV POMPEU I FABRA 44  - CLOT DEL BASSO I MOTA DE SANT PERE (URBANITZACIO),CEIP MAR I CEL,AV POMPEU I FABRA 44  - CLOT DEL BASSO I MOTA DE SANT PERE (URBANITZACIO),4264#0807401005B#CEIP MAR I CEL ; AV POMPEU I FABRA 44  - CLOT DEL BASSO I MOTA DE SANT PERE (URBANITZACIO),
4265,0807401006A,8,c1476,CUBELLES,GARRAF,GARRAF1G35,74,1,6,,A,A,K,80740007,c1476,LOCAL SOCIAL DE MAS TRADER I ; C CLAVELL S/N  URBANITZACIO MAS-TRADER I,LOCAL SOCIAL DE MAS TRADER I,C CLAVELL S/N  URBANITZACIO MAS-TRADER I,4265#0807401006A#LOCAL SOCIAL DE MAS TRADER I ; C CLAVELL S/N  URBANITZACIO MAS-TRADER I,
4266,0807401006B,8,c1476,CUBELLES,GARRAF,GARRAF1G35,74,1,6,,B,L,Z,80740007,c1476,LOCAL SOCIAL DE MAS TRADER I ; C CLAVELL S/N  URBANITZACIO MAS-TRADER I,LOCAL SOCIAL DE MAS TRADER I,C CLAVELL S/N  URBANITZACIO MAS-TRADER I,4266#0807401006B#LOCAL SOCIAL DE MAS TRADER I ; C CLAVELL S/N  URBANITZACIO MAS-TRADER I,
4267,0807401007A,8,c490,CUBELLES,GARRAF,GARRAF1G35,74,1,7,,A,A,K,80740003,c490,CEIP VORA DEL MAR ; C VERGE DEL PILAR 10,CEIP VORA DEL MAR,C VERGE DEL PILAR 10,4267#0807401007A#CEIP VORA DEL MAR ; C VERGE DEL PILAR 10,
4268,0807401007B,8,c490,CUBELLES,GARRAF,GARRAF1G35,74,1,7,,B,L,Z,80740003,c490,CEIP VORA DEL MAR ; C VERGE DEL PILAR 10,CEIP VORA DEL MAR,C VERGE DEL PILAR 10,4268#0807401007B#CEIP VORA DEL MAR ; C VERGE DEL PILAR 10,
4269,0807401008U,8,c432,CUBELLES,GARRAF,GARRAF1G35,74,1,8,,U,A,Z,80740006,c432,CEIP MAR I CEL ; AV POMPEU I FABRA 44  - CLOT DEL BASSO I MOTA DE SANT PERE (URBANITZACIO),CEIP MAR I CEL,AV POMPEU I FABRA 44  - CLOT DEL BASSO I MOTA DE SANT PERE (URBANITZACIO),4269#0807401008U#CEIP MAR I CEL ; AV POMPEU I FABRA 44  - CLOT DEL BASSO I MOTA DE SANT PERE (URBANITZACIO),
4270,0807401009U,8,c490,CUBELLES,GARRAF,GARRAF1G35,74,1,9,,U,A,Z,80740003,c490,CEIP VORA DEL MAR ; C VERGE DEL PILAR 10,CEIP VORA DEL MAR,C VERGE DEL PILAR 10,4270#0807401009U#CEIP VORA DEL MAR ; C VERGE DEL PILAR 10,
4271,0807401010U,8,c355,CUBELLES,GARRAF,GARRAF1G35,74,1,10,,U,A,Z,80740002,c355,CEIP CHARLIE RIVEL ; PG VILANOVA 44,CEIP CHARLIE RIVEL,PG VILANOVA 44,4271#0807401010U#CEIP CHARLIE RIVEL ; PG VILANOVA 44,
4139,0808501001U,8,c664,FONT-RUBÍ,ALT PENEDÈS,GARRAF1G35,85,1,1,,U,A,Z,80850002,c664,CENTRE RECREATIU ; AV CATALUNYA 45 -  GUARDIOLA DE FONT-RUBÍ - GUARDIOLA,CENTRE RECREATIU,AV CATALUNYA 45 -  GUARDIOLA DE FONT-RUBÍ - GUARDIOLA,4139#0808501001U#CENTRE RECREATIU ; AV CATALUNYA 45 -  GUARDIOLA DE FONT-RUBÍ - GUARDIOLA,
4140,0809101001A,8,c154,GELIDA,ALT PENEDÈS,GARRAF1G35,91,1,1,,A,A,F,80910002,c154,C.P. MONTCAU ; PG CIRCUMVAL·LACIÓ S/N,C.P. MONTCAU,PG CIRCUMVAL·LACIÓ S/N,4140#0809101001A#C.P. MONTCAU ; PG CIRCUMVAL·LACIÓ S/N,
4141,0809101001B,8,c154,GELIDA,ALT PENEDÈS,GARRAF1G35,91,1,1,,B,G,O,80910002,c154,C.P. MONTCAU ; PG CIRCUMVAL·LACIÓ S/N,C.P. MONTCAU,PG CIRCUMVAL·LACIÓ S/N,4141#0809101001B#C.P. MONTCAU ; PG CIRCUMVAL·LACIÓ S/N,
4142,0809101001C,8,c154,GELIDA,ALT PENEDÈS,GARRAF1G35,91,1,1,,C,P,Z,80910002,c154,C.P. MONTCAU ; PG CIRCUMVAL·LACIÓ S/N,C.P. MONTCAU,PG CIRCUMVAL·LACIÓ S/N,4142#0809101001C#C.P. MONTCAU ; PG CIRCUMVAL·LACIÓ S/N,
4143,0809101002A,8,c154,GELIDA,ALT PENEDÈS,GARRAF1G35,91,1,2,,A,A,F,80910002,c154,C.P. MONTCAU ; PG CIRCUMVAL·LACIÓ S/N,C.P. MONTCAU,PG CIRCUMVAL·LACIÓ S/N,4143#0809101002A#C.P. MONTCAU ; PG CIRCUMVAL·LACIÓ S/N,
4144,0809101002B,8,c154,GELIDA,ALT PENEDÈS,GARRAF1G35,91,1,2,,B,G,O,80910002,c154,C.P. MONTCAU ; PG CIRCUMVAL·LACIÓ S/N,C.P. MONTCAU,PG CIRCUMVAL·LACIÓ S/N,4144#0809101002B#C.P. MONTCAU ; PG CIRCUMVAL·LACIÓ S/N,
4145,0809101002C,8,c154,GELIDA,ALT PENEDÈS,GARRAF1G35,91,1,2,,C,P,Z,80910002,c154,C.P. MONTCAU ; PG CIRCUMVAL·LACIÓ S/N,C.P. MONTCAU,PG CIRCUMVAL·LACIÓ S/N,4145#0809101002C#C.P. MONTCAU ; PG CIRCUMVAL·LACIÓ S/N,
4146,0809102001A,8,c1323,GELIDA,ALT PENEDÈS,GARRAF1G35,91,2,1,,A,A,F,80910001,c1323,IES GELIDA ; C JOAN PASCUAL I BATLLE 1,IES GELIDA,C JOAN PASCUAL I BATLLE 1,4146#0809102001A#IES GELIDA ; C JOAN PASCUAL I BATLLE 1,
4147,0809102001B,8,c1323,GELIDA,ALT PENEDÈS,GARRAF1G35,91,2,1,,B,G,O,80910001,c1323,IES GELIDA ; C JOAN PASCUAL I BATLLE 1,IES GELIDA,C JOAN PASCUAL I BATLLE 1,4147#0809102001B#IES GELIDA ; C JOAN PASCUAL I BATLLE 1,
4148,0809102001C,8,c1323,GELIDA,ALT PENEDÈS,GARRAF1G35,91,2,1,,C,P,Z,80910001,c1323,IES GELIDA ; C JOAN PASCUAL I BATLLE 1,IES GELIDA,C JOAN PASCUAL I BATLLE 1,4148#0809102001C#IES GELIDA ; C JOAN PASCUAL I BATLLE 1,
4149,0809401001A,8,c525,GRANADA (LA),ALT PENEDÈS,GARRAF1G35,94,1,1,,A,A,K,80940002,c525,CENTRE CIVIC ; CTRA SANTA FE DEL PENEDÈS S/N,CENTRE CIVIC,CTRA SANTA FE DEL PENEDÈS S/N,4149#0809401001A#CENTRE CIVIC ; CTRA SANTA FE DEL PENEDÈS S/N,
4150,0809401001B,8,c525,GRANADA (LA),ALT PENEDÈS,GARRAF1G35,94,1,1,,B,L,Z,80940002,c525,CENTRE CIVIC ; CTRA SANTA FE DEL PENEDÈS S/N,CENTRE CIVIC,CTRA SANTA FE DEL PENEDÈS S/N,4150#0809401001B#CENTRE CIVIC ; CTRA SANTA FE DEL PENEDÈS S/N,
4151,0812201001A,8,c266,MEDIONA,ALT PENEDÈS,GARRAF1G35,122,1,1,1,A,A,Z,81220001,c266,CASAL DE LA GENT GRAN ; CALLE DOCTOR TRUETA 10 - SANT JOAN DE MEDIONA,CASAL DE LA GENT GRAN,CALLE DOCTOR TRUETA 10 - SANT JOAN DE MEDIONA,4151#0812201001A#CASAL DE LA GENT GRAN ; CALLE DOCTOR TRUETA 10 - SANT JOAN DE MEDIONA,
4152,0812201001B,8,c1439,MEDIONA,ALT PENEDÈS,GARRAF1G35,122,1,1,2,B,A,Z,81220003,c1439,LLAR D'INFANTS TANGRAM ; AV MARI- STANY 20 - URBANITZACIÓ FONT DEL BOSC - SANT PERE SACARRERA I URBANITZACIO FONT DEL BOSC,LLAR D'INFANTS TANGRAM,AV MARI- STANY 20 - URBANITZACIÓ FONT DEL BOSC - SANT PERE SACARRERA I URBANITZACIO FONT DEL BOSC,4152#0812201001B#LLAR D'INFANTS TANGRAM ; AV MARI- STANY 20 - URBANITZACIÓ FONT DEL BOSC - SANT PERE SACARRERA I URBANITZACIO FONT DEL BOSC,
4153,0814501001A,8,c1489,OLÈRDOLA,ALT PENEDÈS,GARRAF1G35,145,1,1,1,A,A,Z,81450003,c1489,LOCAL SOCIAL ROSSEND MONTANE ; C ROSSEND MONTANE I FERRER S/N - SANT MIQUEL D'OLÈRDOLA,LOCAL SOCIAL ROSSEND MONTANE,C ROSSEND MONTANE I FERRER S/N - SANT MIQUEL D'OLÈRDOLA,4153#0814501001A#LOCAL SOCIAL ROSSEND MONTANE ; C ROSSEND MONTANE I FERRER S/N - SANT MIQUEL D'OLÈRDOLA,
4154,0814501001B,8,c572,OLÈRDOLA,ALT PENEDÈS,GARRAF1G35,145,1,1,2,B,A,Z,81450001,c572,CENTRE CIVIC GATZARA ; C FONT DEL CUSCÓ 30  SANT PERE MOLANTA,CENTRE CIVIC GATZARA,C FONT DEL CUSCÓ 30  SANT PERE MOLANTA,4154#0814501001B#CENTRE CIVIC GATZARA ; C FONT DEL CUSCÓ 30  SANT PERE MOLANTA,
4155,0814501002A,8,c588,OLÈRDOLA,ALT PENEDÈS,GARRAF1G35,145,1,2,,A,A,K,81450002,c588,CENTRE CIVIC LA XARXA ; AV CARRERADA 31  MOJA,CENTRE CIVIC LA XARXA,AV CARRERADA 31  MOJA,4155#0814501002A#CENTRE CIVIC LA XARXA ; AV CARRERADA 31  MOJA,
4156,0814501002B,8,c588,OLÈRDOLA,ALT PENEDÈS,GARRAF1G35,145,1,2,,B,L,Z,81450002,c588,CENTRE CIVIC LA XARXA ; AV CARRERADA 31  MOJA,CENTRE CIVIC LA XARXA,AV CARRERADA 31  MOJA,4156#0814501002B#CENTRE CIVIC LA XARXA ; AV CARRERADA 31  MOJA,
4157,0814601001U,8,c1572,OLESA DE BONESVALLS,ALT PENEDÈS,GARRAF1G35,146,1,1,,U,A,Z,81460001,c1572,SALA D'ACTES AJUNTAMENT OLESA BONESVALLS ; PL VILA (LA) 1,SALA D'ACTES AJUNTAMENT OLESA BONESVALLS,PL VILA (LA) 1,4157#0814601001U#SALA D'ACTES AJUNTAMENT OLESA BONESVALLS ; PL VILA (LA) 1,
4158,0814601002U,8,c668,OLESA DE BONESVALLS,ALT PENEDÈS,GARRAF1G35,146,1,2,,U,A,Z,81460002,c668,CENTRE SOCIAL CA N'OLIVELLA ; C PINS 12  CAN OLIVELLA,CENTRE SOCIAL CA N'OLIVELLA,C PINS 12  CAN OLIVELLA,4158#0814601002U#CENTRE SOCIAL CA N'OLIVELLA ; C PINS 12  CAN OLIVELLA,
4272,0814801001U,8,c1485,OLIVELLA,GARRAF,GARRAF1G35,148,1,1,,U,A,Z,81480002,c1485,LOCAL SOCIAL MUNICIPAL EL GANXO ; AV SARDANA (DE LA) S/N - OLIVELLA-URBANITZACIÓ,LOCAL SOCIAL MUNICIPAL EL GANXO,AV SARDANA (DE LA) S/N - OLIVELLA-URBANITZACIÓ,4272#0814801001U#LOCAL SOCIAL MUNICIPAL EL GANXO ; AV SARDANA (DE LA) S/N - OLIVELLA-URBANITZACIÓ,
4273,0814801002A,8,c363,OLIVELLA,GARRAF,GARRAF1G35,148,1,2,1,A,A,Z,81480003,c363,CEIP D'OLIVELLA ; AV MAS MILA S/N - OLIVELLA-URBANITZACIÓ,CEIP D'OLIVELLA,AV MAS MILA S/N - OLIVELLA-URBANITZACIÓ,4273#0814801002A#CEIP D'OLIVELLA ; AV MAS MILA S/N - OLIVELLA-URBANITZACIÓ,
4274,0814801002B,8,c1486,OLIVELLA,GARRAF,GARRAF1G35,148,1,2,2,B,A,Z,81480001,c1486,LOCAL SOCIAL MUNICIPAL LA SALA ; C MAJOR 14,LOCAL SOCIAL MUNICIPAL LA SALA,C MAJOR 14,4274#0814801002B#LOCAL SOCIAL MUNICIPAL LA SALA ; C MAJOR 14,
4159,0815401001U,8,c1578,PACS DEL PENEDÈS,ALT PENEDÈS,GARRAF1G35,154,1,1,,U,A,Z,81540001,c1578,SALA DE ACTOS MUNICIPAL ; AV DIPUTACIÓ S/N,SALA DE ACTOS MUNICIPAL,AV DIPUTACIÓ S/N,4159#0815401001U#SALA DE ACTOS MUNICIPAL ; AV DIPUTACIÓ S/N,
4160,0816401001U,8,c736,PLA DEL PENEDÈS (EL),ALT PENEDÈS,GARRAF1G35,164,1,1,,U,A,Z,81640001,c736,COL.LEGI PUBLIC SANTS ABDON I SENEN ; C SANTS ABDON I SENEN S/N,COL.LEGI PUBLIC SANTS ABDON I SENEN,C SANTS ABDON I SENEN S/N,4160#0816401001U#COL.LEGI PUBLIC SANTS ABDON I SENEN ; C SANTS ABDON I SENEN S/N,
4161,0816801001U,8,c1591,PONTONS,ALT PENEDÈS,GARRAF1G35,168,1,1,,U,A,Z,81680001,c1591,SALA POLIVALENT ; PL VILA 1,SALA POLIVALENT,PL VILA 1,4161#0816801001U#SALA POLIVALENT ; PL VILA 1,
4162,0817401001U,8,c80,PUIGDÀLBER,ALT PENEDÈS,GARRAF1G35,174,1,1,,U,A,Z,81740001,c80,AUDITORI MUNICIPAL ; PL VILA (LA) 1,AUDITORI MUNICIPAL,PL VILA (LA) 1,4162#0817401001U#AUDITORI MUNICIPAL ; PL VILA (LA) 1,
4163,0820601001U,8,c1617,SANT CUGAT SESGARRIGUES,ALT PENEDÈS,GARRAF1G35,206,1,1,,U,A,Z,82060001,c1617,SALA POLIVALENT DEL CENTRE CÍVIC ; C PONENT 7,SALA POLIVALENT DEL CENTRE CÍVIC,C PONENT 7,4163#0820601001U#SALA POLIVALENT DEL CENTRE CÍVIC ; C PONENT 7,
4164,0822201001A,8,c1164,SANT LLORENÇ D'HORTONS,ALT PENEDÈS,GARRAF1G35,222,1,1,1,A,A,K,82220001,c1164,ESCOLA PUBLICA PAU CASALS ; C PAU CASALS 5,ESCOLA PUBLICA PAU CASALS,C PAU CASALS 5,4164#0822201001A#ESCOLA PUBLICA PAU CASALS ; C PAU CASALS 5,
